Sample in Buffer,Sample in Window,TRIGGER,aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/read_len_1[0:0],aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/read_len_2[2:1],aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/read_len[3:3],aquila_soc_i/aquila_0/inst/aquila_core/D_Cache/S_nxt[3:0],aquila_soc_i/aquila_0/inst/aquila_core/D_Cache/S[3:0],aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/allocator/FREE_ST[3:0],aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/dmm_unit_addr[31:0],aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/dmm_unit_datain[255:0],aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/dmm_unit_dataout[255:0],aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/allocator/MAIN_ST[3:0],aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/dmm_unit_size[7:0],aquila_soc_i/aquila_0/inst/aquila_core/dcache_is_flushing,aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/dmm_unit_done,aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/dmm_unit_rw,aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/dmm_unit_strobe,aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/free_request,aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/free_request_o,u_ila_0_stall_i
698,698,0,0,0,0,6,6,0,8001c0a0,0000000000000000000000000000000000000000000000000000000000000000,692072657265746e747075720000000a65707553736976727420726f72656d69,"IDLE",08,1,0,1,1,0,0,1
699,699,0,0,0,0,6,6,0,8001c0a0,0000000000000000000000000000000000000000000000000000000000000000,692072657265746e747075720000000a65707553736976727420726f72656d69,"IDLE",08,1,0,1,1,0,0,1
700,700,0,0,0,0,6,6,0,8001c0a0,0000000000000000000000000000000000000000000000000000000000000000,692072657265746e747075720000000a65707553736976727420726f72656d69,"IDLE",08,1,0,1,1,0,0,1
701,701,0,0,0,0,6,6,0,8001c0a0,0000000000000000000000000000000000000000000000000000000000000000,692072657265746e747075720000000a65707553736976727420726f72656d69,"IDLE",08,1,0,1,1,0,0,1
702,702,0,0,0,0,6,6,0,8001c0a0,0000000000000000000000000000000000000000000000000000000000000000,692072657265746e747075720000000a65707553736976727420726f72656d69,"IDLE",08,1,0,1,1,0,0,1
703,703,0,0,0,0,6,6,0,8001c0a0,0000000000000000000000000000000000000000000000000000000000000000,692072657265746e747075720000000a65707553736976727420726f72656d69,"IDLE",08,1,0,1,1,0,0,1
704,704,0,0,0,0,6,6,0,8001c0a0,0000000000000000000000000000000000000000000000000000000000000000,692072657265746e747075720000000a65707553736976727420726f72656d69,"IDLE",08,1,0,1,1,0,0,1
705,705,0,0,0,0,6,6,0,8001c0a0,0000000000000000000000000000000000000000000000000000000000000000,692072657265746e747075720000000a65707553736976727420726f72656d69,"IDLE",08,1,0,1,1,0,0,1
706,706,0,0,0,0,6,6,0,8001c0a0,0000000000000000000000000000000000000000000000000000000000000000,692072657265746e747075720000000a65707553736976727420726f72656d69,"IDLE",08,1,0,1,1,0,0,1
707,707,0,0,0,0,6,6,0,8001c0a0,0000000000000000000000000000000000000000000000000000000000000000,692072657265746e747075720000000a65707553736976727420726f72656d69,"IDLE",08,1,0,1,1,0,0,1
708,708,0,0,0,0,6,6,0,8001c0a0,0000000000000000000000000000000000000000000000000000000000000000,692072657265746e747075720000000a65707553736976727420726f72656d69,"IDLE",08,1,0,1,1,0,0,1
709,709,0,0,0,0,6,6,0,8001c0a0,0000000000000000000000000000000000000000000000000000000000000000,692072657265746e747075720000000a65707553736976727420726f72656d69,"IDLE",08,1,0,1,1,0,0,1
710,710,0,0,0,0,6,6,0,8001c0a0,0000000000000000000000000000000000000000000000000000000000000000,692072657265746e747075720000000a65707553736976727420726f72656d69,"IDLE",08,1,0,1,1,0,0,1
711,711,0,0,0,0,6,6,0,8001c0a0,0000000000000000000000000000000000000000000000000000000000000000,692072657265746e747075720000000a65707553736976727420726f72656d69,"IDLE",08,1,0,1,1,0,0,1
712,712,0,0,0,0,6,6,0,8001c0a0,0000000000000000000000000000000000000000000000000000000000000000,692072657265746e747075720000000a65707553736976727420726f72656d69,"IDLE",08,1,0,1,1,0,0,1
713,713,0,0,0,0,6,6,0,8001c0a0,0000000000000000000000000000000000000000000000000000000000000000,692072657265746e747075720000000a65707553736976727420726f72656d69,"IDLE",08,1,0,1,1,0,0,1
714,714,0,0,0,0,6,6,0,8001c0a0,0000000000000000000000000000000000000000000000000000000000000000,692072657265746e747075720000000a65707553736976727420726f72656d69,"IDLE",08,1,0,1,1,0,0,1
715,715,0,0,0,0,6,6,0,8001c0a0,0000000000000000000000000000000000000000000000000000000000000000,692072657265746e747075720000000a65707553736976727420726f72656d69,"IDLE",08,1,0,1,1,0,0,1
716,716,0,0,0,0,6,6,0,8001c0a0,0000000000000000000000000000000000000000000000000000000000000000,692072657265746e747075720000000a65707553736976727420726f72656d69,"IDLE",08,1,0,1,1,0,0,1
717,717,0,0,0,0,6,6,0,8001c0a0,0000000000000000000000000000000000000000000000000000000000000000,692072657265746e747075720000000a65707553736976727420726f72656d69,"IDLE",08,1,0,1,1,0,0,1
718,718,0,0,0,0,6,6,0,8001c0a0,0000000000000000000000000000000000000000000000000000000000000000,692072657265746e747075720000000a65707553736976727420726f72656d69,"IDLE",08,1,0,1,1,0,0,1
719,719,0,0,0,0,6,6,0,8001c0a0,0000000000000000000000000000000000000000000000000000000000000000,692072657265746e747075720000000a65707553736976727420726f72656d69,"IDLE",08,1,0,1,1,0,0,1
720,720,0,0,0,0,6,6,0,8001c0a0,0000000000000000000000000000000000000000000000000000000000000000,692072657265746e747075720000000a65707553736976727420726f72656d69,"IDLE",08,1,0,1,1,0,0,1
721,721,0,0,0,0,6,6,0,8001c0a0,0000000000000000000000000000000000000000000000000000000000000000,692072657265746e747075720000000a65707553736976727420726f72656d69,"IDLE",08,1,0,1,1,0,0,1
722,722,0,0,0,0,6,6,0,8001c0a0,0000000000000000000000000000000000000000000000000000000000000000,692072657265746e747075720000000a65707553736976727420726f72656d69,"IDLE",08,1,0,1,1,0,0,1
723,723,0,0,0,0,6,6,0,8001c0a0,0000000000000000000000000000000000000000000000000000000000000000,692072657265746e747075720000000a65707553736976727420726f72656d69,"IDLE",08,1,0,1,1,0,0,1
724,724,0,0,0,0,6,6,0,8001c0a0,0000000000000000000000000000000000000000000000000000000000000000,692072657265746e747075720000000a65707553736976727420726f72656d69,"IDLE",08,1,0,1,1,0,0,1
725,725,0,0,0,0,6,6,0,8001c0a0,0000000000000000000000000000000000000000000000000000000000000000,692072657265746e747075720000000a65707553736976727420726f72656d69,"IDLE",08,1,0,1,1,0,0,1
